accession,organism,taxon
AXZF01000127.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000128.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000129.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000130.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000131.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000132.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000133.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000134.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000135.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000136.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000137.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000138.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000139.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000140.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000141.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000142.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000143.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000144.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000145.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000146.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000147.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000148.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000149.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000150.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000151.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000152.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000153.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000154.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000155.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000156.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000157.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000158.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000159.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000160.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000161.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000162.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000163.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000164.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000165.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000166.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000167.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000001.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000168.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000002.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000169.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000003.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000170.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000171.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000004.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000172.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000005.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000173.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000006.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000174.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000007.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000175.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000176.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000008.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000177.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000178.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000009.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000179.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000010.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000180.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000011.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000181.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000182.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000183.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000184.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000012.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000185.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000013.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000186.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000187.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000014.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000188.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000015.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000189.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000016.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000190.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000017.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000191.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000018.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000192.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000019.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000193.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000020.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000194.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000021.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000195.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000022.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000196.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000023.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000197.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000024.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000198.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000025.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000199.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000200.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000026.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000201.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000027.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000202.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000028.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000203.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000204.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000029.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000205.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000030.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000206.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000031.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000207.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000208.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000032.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000209.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000033.1,Peptoniphilus sp. BV3AC2,1111133
AXZF01000210.1,Cetobacterium somerae ATCC BAA-474,1319815
AWXD01000034.1,Peptoniphilus sp. BV3AC2,1111133
AWXB01000001.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000002.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000003.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000004.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000005.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000006.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000007.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000008.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000009.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000010.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000011.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000012.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000013.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000014.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000015.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000016.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000017.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000018.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000019.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000020.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000021.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000022.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000023.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000024.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000025.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000026.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000027.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000028.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000029.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000030.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000031.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000032.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000033.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000034.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000035.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000036.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000037.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000038.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000039.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000040.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000041.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000042.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000043.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000044.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000045.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000046.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000047.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000048.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000049.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000050.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000051.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000052.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000053.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000054.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000055.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000056.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000057.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000058.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000059.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000060.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000061.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000062.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000063.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000064.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000065.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000066.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000067.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000068.1,Peptoniphilus sp. BV3C26,1111134
AWXB01000069.1,Peptoniphilus sp. BV3C26,1111134
AXNU01000001.1,Fusobacterium nucleatum CTI-7,1316588
AXNU01000002.1,Fusobacterium nucleatum CTI-7,1316588
AXNU01000003.1,Fusobacterium nucleatum CTI-7,1316588
AXNU01000004.1,Fusobacterium nucleatum CTI-7,1316588
AXNU01000005.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000001.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000006.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000002.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000007.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000003.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000008.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000004.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000009.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000005.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000010.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000006.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000011.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000007.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000012.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000008.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000013.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000009.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000014.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000010.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000015.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000011.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000016.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000012.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000017.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000013.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000018.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000014.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000019.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000015.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000020.1,Fusobacterium nucleatum CTI-7,1316588
AXNU01000021.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000016.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000022.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000017.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000023.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000018.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000024.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000019.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000025.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000020.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000026.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000021.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000027.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000022.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000028.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000023.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000029.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000024.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000030.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000025.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000031.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000026.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000032.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000027.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000033.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000028.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000034.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000029.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000035.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000030.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000036.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000031.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000037.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000032.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000038.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000033.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000039.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000034.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000040.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000035.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000041.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000036.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000042.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000037.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000043.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000038.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000044.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000039.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000045.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000040.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000046.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000041.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000047.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000042.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000048.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000043.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000049.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000044.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000050.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000045.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000051.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000046.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000052.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000047.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000053.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000048.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000054.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000049.1,Fusobacterium nucleatum CTI-6,1316587
AXNV01000050.1,Fusobacterium nucleatum CTI-6,1316587
AXNV01000051.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000055.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000052.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000056.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000053.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000057.1,Fusobacterium nucleatum CTI-7,1316588
AXNV01000054.1,Fusobacterium nucleatum CTI-6,1316587
AXNU01000058.1,Fusobacterium nucleatum CTI-7,1316588
